Folder Name,Output Folder,Total Email with Invoices,Total Downloaded Invoices,Execution Date,First Email Details,Last Email Details,Unprocessed Emails
test_2,E:/Python/brend/job_2/Data/test_2,1,1,2022-10-12,09/29/2022 20:39:10 FW: second email,09/28/2022 05:40:03 👤 Shahidul Alam Sizan is a new friend suggestion for you,1
applications,E:/Python/brend/job_2/Data/applications,0,0,2022-10-12,09/30/2022 18:06:56 New release | Hold the Tip,09/30/2022 18:06:56 New release | Hold the Tip,1
