Folder Name,Output Folder,Total Email with Invoices,Total Downloaded Invoices,Execution Date,First Email Details,Last Email Details,Unprocessed Emails
test_2,E:/Python/brend/job_2/Data/test_2,1,1,2022-10-14,09/29/2022 20:39:10 FW: second email,09/28/2022 19:42:53 Application,0
testing_data,E:/Python/brend/job_2/Data/testing_data,1,4,2022-10-14,10/11/2022 19:06:13 This is dataset,09/29/2022 19:47:44 Fwd: third email,0
